Acetivibrio cellulolyticus	Acinetobacter baumannii
Acetivibrio cellulolyticus	Actinomyces coleocanis
Acetivibrio cellulolyticus	Bacillus cereus
Acetivibrio cellulolyticus	Citrobacter koseri
Acetivibrio cellulolyticus	Citrobacter rodentium
Acetivibrio cellulolyticus	Citrobacter sp.
Acetivibrio cellulolyticus	Citrobacter youngae
Acetivibrio cellulolyticus	Corynebacterium striatum
Acetivibrio cellulolyticus	Dermacoccus sp.
Acetivibrio cellulolyticus	Dickeya dadantii
Acetivibrio cellulolyticus	Enterobacter cloacae
Acetivibrio cellulolyticus	Enterobacter lignolyticus
Acetivibrio cellulolyticus	Erwinia amylovora
Acetivibrio cellulolyticus	Escherichia coli
Acetivibrio cellulolyticus	Fusobacterium nucleatum
Acetivibrio cellulolyticus	Fusobacterium ulcerans
Acetivibrio cellulolyticus	Fusobacterium varium
Acetivibrio cellulolyticus	Haemophilus ducreyi
Acetivibrio cellulolyticus	Klebsiella oxytoca
Acetivibrio cellulolyticus	Klebsiella pneumoniae
Acetivibrio cellulolyticus	Lactobacillus vaginalis
Acetivibrio cellulolyticus	Legionella pneumophila
Acetivibrio cellulolyticus	Neisseria mucosa
Acetivibrio cellulolyticus	Pantoea ananatis
Acetivibrio cellulolyticus	Pantoea sp.
Acetivibrio cellulolyticus	Pantoea vagans
Acetivibrio cellulolyticus	Pectobacterium atrosepticum
Acetivibrio cellulolyticus	Providencia stuartii
Acetivibrio cellulolyticus	Rheinheimera sp.
Acetivibrio cellulolyticus	Salmonella bongori
Acetivibrio cellulolyticus	Serratia odorifera
Acetivibrio cellulolyticus	Shewanella putrefaciens
Acetivibrio cellulolyticus	Vibrio anguillarum
Acetivibrio cellulolyticus	Xenorhabdus bovienii
Acetivibrio cellulolyticus	Xenorhabdus nematophila
Acetohalobium arabaticum	Croceibacter atlanticus
Acetohalobium arabaticum	Klebsiella pneumoniae
Acidimicrobium ferrooxidans	Bacteroides stercoris
Acidimicrobium ferrooxidans	Croceibacter atlanticus
Acidiphilium multivorum	Coprobacillus sp.
Acidiphilium multivorum	Fusobacterium ulcerans
Acidiphilium multivorum	Lactobacillus vaginalis
Acidiphilium multivorum	Rheinheimera sp.
Acidobacterium capsulatum	Croceibacter atlanticus
Acidobacterium capsulatum	Klebsiella pneumoniae
Acidothermus cellulolyticus	Bacteroides stercoris
Acidothermus cellulolyticus	Croceibacter atlanticus
Acinetobacter baumannii	Eubacterium hallii
Acinetobacter sp.	Clostridium saccharolyticum
Acinetobacter sp.	Coprococcus eutactus
Acinetobacter sp.	Eubacterium hallii
Acinetobacter sp.	Eubacterium rectale
Acinetobacter sp.	Eubacterium siraeum
Acinetobacter sp.	Oenococcus oeni
Acinetobacter sp.	Propionibacterium acnes
Acinetobacter sp.	Propionibacterium freudenreichii
Acinetobacter sp.	Ruminococcus sp.
Acinetobacter sp.	Slackia heliotrinireducens
Actinobacillus minor	Alistipes sp.
Actinobacillus minor	Blautia hydrogenotrophica
Actinobacillus minor	Clostridium leptum
Actinobacillus minor	Clostridium sp.
Actinobacillus minor	Coprococcus comes
Actinobacillus minor	Erysipelotrichaceae bacterium
Actinobacillus minor	Eubacterium hallii
Actinobacillus minor	Eubacterium siraeum
Actinobacillus minor	Lawsonia intracellularis
Actinobacillus minor	Megasphaera genomosp.
Actinobacillus minor	Oscillibacter valericigenes
Actinobacillus minor	Prevotella sp.
Actinobacillus minor	Ruminococcaceae bacterium
Actinobacillus minor	Ruminococcus champanellensis
Actinobacillus minor	Ruminococcus sp.
Actinobacillus minor	Slackia heliotrinireducens
Actinobacillus minor	Treponema succinifaciens
Actinobacillus minor	Eubacterium cylindroides
Actinomyces coleocanis	Alistipes shahii
Actinomyces coleocanis	Alistipes sp.
Actinomyces coleocanis	Clostridium leptum
Actinomyces coleocanis	Clostridium saccharolyticum
Actinomyces coleocanis	Clostridium sp.
Actinomyces coleocanis	Coprococcus eutactus
Actinomyces coleocanis	Coraliomargarita akajimensis
Actinomyces coleocanis	Dyadobacter fermentans
Actinomyces coleocanis	Eubacterium rectale
Actinomyces coleocanis	Eubacterium siraeum
Actinomyces coleocanis	Faecalibacterium cf.
Actinomyces coleocanis	Fluviicola taffensis
Actinomyces coleocanis	Lawsonia intracellularis
Actinomyces coleocanis	Moorella thermoacetica
Actinomyces coleocanis	Odoribacter splanchnicus
Actinomyces coleocanis	Oscillibacter valericigenes
Actinomyces coleocanis	Prevotella sp.
Actinomyces coleocanis	Propionibacterium acnes
Actinomyces coleocanis	Roseburia intestinalis
Actinomyces coleocanis	Ruminococcaceae bacterium
Actinomyces coleocanis	Ruminococcus albus
Actinomyces coleocanis	Ruminococcus champanellensis
Actinomyces coleocanis	Runella slithyformis
Actinomyces coleocanis	Sphingobacterium spiritivorum
Actinomyces coleocanis	Bacteroides pectinophilus
Actinomyces coleocanis	Eubacterium cylindroides
Actinomyces odontolyticus	Algoriphagus sp.
Actinomyces odontolyticus	Bacteroides coprocola
Actinomyces odontolyticus	Candidatus Phytoplasma
Actinomyces odontolyticus	Odoribacter splanchnicus
Actinomyces odontolyticus	Prevotella amnii
Actinomyces odontolyticus	Prevotella salivae
Actinomyces odontolyticus	Prevotella timonensis
Actinomyces odontolyticus	Sphingobacterium sp.
Actinomyces sp.	Algoriphagus sp.
Actinomyces sp.	Alistipes shahii
Actinomyces sp.	Alistipes sp.
Actinomyces sp.	Bacteroides coprocola
Actinomyces sp.	Bacteroides coprophilus
Actinomyces sp.	Bacteroides coprosuis
Actinomyces sp.	Bacteroides finegoldii
Actinomyces sp.	Bacteroides fragilis
Actinomyces sp.	Bacteroides plebeius
Actinomyces sp.	Bacteroides sp.
Actinomyces sp.	Bacteroides stercoris
Actinomyces sp.	Bacteroides uniformis
Actinomyces sp.	Bacteroidetes oral
Actinomyces sp.	Candidatus Azobacteroides
Actinomyces sp.	Candidatus Phytoplasma
Actinomyces sp.	Cellulophaga algicola
Actinomyces sp.	Croceibacter atlanticus
Actinomyces sp.	Cytophaga hutchinsonii
Actinomyces sp.	Desulfomicrobium baculatum
Actinomyces sp.	Dyadobacter fermentans
Actinomyces sp.	Dysgonomonas mossii
Actinomyces sp.	Flavobacterium branchiophilum
Actinomyces sp.	Flavobacterium johnsoniae
Actinomyces sp.	Fluviicola taffensis
Actinomyces sp.	Haliscomenobacter hydrossis
Actinomyces sp.	Hirschia baltica
Actinomyces sp.	Leeuwenhoekiella blandensis
Actinomyces sp.	Meiothermus silvanus
Actinomyces sp.	Microscilla marina
Actinomyces sp.	Nostoc punctiforme
Actinomyces sp.	Odoribacter splanchnicus
Actinomyces sp.	Owenweeksia hongkongensis
Actinomyces sp.	Paludibacter propionicigenes
Actinomyces sp.	Parachlamydia acanthamoebae
Actinomyces sp.	Paraprevotella xylaniphila
Actinomyces sp.	Pedobacter saltans
Actinomyces sp.	Porphyromonas asaccharolytica
Actinomyces sp.	Porphyromonas endodontalis
Actinomyces sp.	Porphyromonas gingivalis
Actinomyces sp.	Porphyromonas uenonis
Actinomyces sp.	Prevotella amnii
Actinomyces sp.	Prevotella bergensis
Actinomyces sp.	Prevotella buccalis
Actinomyces sp.	Prevotella copri
Actinomyces sp.	Prevotella dentalis
Actinomyces sp.	Prevotella denticola
Actinomyces sp.	Prevotella disiens
Actinomyces sp.	Prevotella marshii
Actinomyces sp.	Prevotella melaninogenica
Actinomyces sp.	Prevotella multiformis
Actinomyces sp.	Prevotella nigrescens
Actinomyces sp.	Prevotella oralis
Actinomyces sp.	Prevotella oris
Actinomyces sp.	Prevotella pallens
Actinomyces sp.	Prevotella salivae
Actinomyces sp.	Prevotella tannerae
Actinomyces sp.	Prevotella timonensis
Actinomyces sp.	Prevotella veroralis
Actinomyces sp.	Prosthecochloris aestuarii
Actinomyces sp.	Psychrobacter arcticus
Actinomyces sp.	Psychrobacter cryohalolentis
Actinomyces sp.	Psychroflexus torquis
Actinomyces sp.	Runella slithyformis
Actinomyces sp.	Sphingobacterium sp.
Actinomyces sp.	Sphingobacterium spiritivorum
Actinomyces sp.	Tannerella forsythia
Actinomyces sp.	Taylorella asinigenitalis
Actinomyces sp.	Waddlia chondrophila
Actinomyces sp.	unidentified eubacterium
Actinomyces urogenitalis	Alistipes shahii
Actinomyces urogenitalis	Alistipes sp.
Actinomyces urogenitalis	Bacteroides uniformis
Actinomyces urogenitalis	Eubacterium rectale
Actinomyces urogenitalis	Odoribacter splanchnicus
Actinomyces urogenitalis	Paraprevotella xylaniphila
Actinomyces urogenitalis	Roseburia intestinalis
Actinosynnema mirum	Bacteroides coprocola
Aerococcus viridans	Bacteroides stercoris
Aeromicrobium marinum	Bacteroides coprocola
Aeromicrobium marinum	Bacteroides coprophilus
Aeromicrobium marinum	Bacteroides finegoldii
Aeromicrobium marinum	Bacteroides fluxus
Aeromicrobium marinum	Bacteroides helcogenes
Aeromicrobium marinum	Bacteroides intestinalis
Aeromicrobium marinum	Bacteroides plebeius
Aeromicrobium marinum	Bacteroides sp.
Aeromicrobium marinum	Bacteroides stercoris
Aeromicrobium marinum	Croceibacter atlanticus
Aeromicrobium marinum	Prevotella denticola
Aeromicrobium marinum	Prevotella disiens
Aeromicrobium marinum	Prevotella marshii
Aeromonas caviae	Propionibacterium acnes
Afipia sp.	Croceibacter atlanticus
Afipia sp.	Klebsiella pneumoniae
Aggregatibacter actinomycetemcomitans	Eubacterium hallii
Aggregatibacter actinomycetemcomitans	Eubacterium siraeum
Aggregatibacter actinomycetemcomitans	Megasphaera genomosp.
Aggregatibacter aphrophilus	Clostridium leptum
Aggregatibacter aphrophilus	Ruminococcus sp.
Aggregatibacter segnis	Ruminococcus sp.
Akkermansia muciniphila	Acinetobacter baumannii
