Int1	Int2	Correlation	Sign	Edge_Width(abs(correlation)*10)	Pvalue
Candidatus Desulforudis audaxviator MP104C	Croceibacter atlanticus HTCC2559	-0.311344205024	-	3.11344205024	4.87369422566e-19
Frankia sp. EuI1c	Croceibacter atlanticus HTCC2559	-0.390435585201	-	3.90435585201	7.04135787553e-30
Frankia sp. EuI1c	Bacteroides stercoris ATCC 43183	-0.310252151347	-	3.10252151347	6.5556248965e-19
Eubacterium dolichum DSM 3991	Coprococcus catus GD/7	0.820451515717	+	8.20451515717	1.38728856871e-191
Eubacterium dolichum DSM 3991	Clostridium sp. M62/1	0.816531167033	+	8.16531167033	2.73850125841e-188
Eubacterium dolichum DSM 3991	Holdemania filiformis DSM 12042	0.829858522497	+	8.29858522497	7.85790635849e-200
Eubacterium dolichum DSM 3991	Clostridium sp. D5	0.869887690091	+	8.69887690091	1.28332527704e-241
Eubacterium dolichum DSM 3991	Ruminococcus obeum A2-162	0.843072234928	+	8.43072234928	2.59477777417e-212
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Escherichia albertii TW07627	0.951142061556	+	9.51142061556	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Yersinia enterocolitica subsp. enterocolitica 8081	0.889450783176	+	8.89450783176	1.83685213383e-267
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Erwinia pyrifoliae Ep1/96	0.924388676662	+	9.24388676662	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Cronobacter turicensis z3032	0.933830404504	+	9.33830404504	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Photorhabdus luminescens subsp. laumondii TTO1	0.860181646039	+	8.60181646039	2.61570636333e-230
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Pectobacterium wasabiae WPP163	0.948132900867	+	9.48132900867	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Enterobacter aerogenes KCTC 2190	0.905767164979	+	9.05767164979	4.62097313663e-293
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Enterobacter cancerogenus ATCC 35316	0.914816403912	+	9.14816403912	2.30528256513e-309
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Lactobacillus brevis subsp. gravesensis ATCC 27305	0.842456731094	+	8.42456731094	1.04922260052e-211
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Enterobacter sp. 638	0.916541735632	+	9.16541735632	1.11859086315e-312
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Serratia proteamaculans 568	0.896808840499	+	8.96808840499	1.78929132235e-278
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Escherichia coli TW10509	0.932716528109	+	9.32716528109	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Edwardsiella ictaluri 93-146	0.911378283236	+	9.11378283236	5.7782471076e-303
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Klebsiella oxytoca KCTC 1686	0.911250324117	+	9.11250324117	9.88321209306e-303
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Citrobacter youngae ATCC 29220	0.945636943783	+	9.45636943783	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Enterobacter cloacae EcWSU1	0.857780985254	+	8.57780985254	1.21207029957e-227
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Vibrio metschnikovii CIP 69.14	0.844271014781	+	8.44271014781	1.677969288e-213
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Citrobacter sp. 30_2	0.903931876836	+	9.03931876836	5.88126915527e-290
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Erwinia billingiae Eb661	0.923270104948	+	9.23270104948	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Pantoea ananatis LMG 5342	0.941625264448	+	9.41625264448	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Corynebacterium lipophiloflavum DSM 44291	0.862468348556	+	8.62468348556	6.78464790062e-233
Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	Actinomyces coleocanis DSM 15436	0.853070380594	+	8.53070380594	1.49642751988e-222
